# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:35
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
   7.232634e+02   6.506701e-01  -1.357185e-01   9.202632e-02  -3.017137e-02   3.294977e-01  -7.385733e-02
   6.368250e+02   6.462923e-01  -1.201551e-01   9.132444e-02  -2.665512e-02   3.270867e-01  -6.538863e-02
   5.607170e+02   6.428549e-01  -1.062508e-01   9.077509e-02  -2.353144e-02   3.251942e-01  -5.782229e-02
   4.937048e+02   6.401632e-01  -9.386766e-02   9.034599e-02  -2.076183e-02   3.237126e-01  -5.108353e-02
   4.347013e+02   6.380599e-01  -8.286668e-02   9.001138e-02  -1.830990e-02   3.225551e-01  -4.509680e-02
   3.827494e+02   6.364192e-01  -7.311268e-02   8.975078e-02  -1.614180e-02   3.216524e-01  -3.978863e-02
   3.370064e+02   6.351411e-01  -6.447758e-02   8.954803e-02  -1.422649e-02   3.209492e-01  -3.508933e-02
   2.967302e+02   6.341465e-01  -5.684221e-02   8.939041e-02  -1.253573e-02   3.204021e-01  -3.093409e-02
   2.612675e+02   6.333731e-01  -5.009719e-02   8.926795e-02  -1.104404e-02   3.199767e-01  -2.726338e-02
   2.300430e+02   6.327722e-01  -4.414305e-02   8.917286e-02  -9.728582e-03   3.196462e-01  -2.402308e-02
   2.025502e+02   6.323055e-01  -3.889006e-02   8.909904e-02  -8.568934e-03   3.193895e-01  -2.116434e-02
   1.783431e+02   6.319432e-01  -3.425771e-02   8.904175e-02  -7.546918e-03   3.191903e-01  -1.864337e-02
   1.570290e+02   6.316621e-01  -3.017409e-02   8.899730e-02  -6.646389e-03   3.190356e-01  -1.642102e-02
   1.382622e+02   6.314439e-01  -2.657516e-02   8.896282e-02  -5.853035e-03   3.189156e-01  -1.446245e-02
   1.217383e+02   6.312746e-01  -2.340405e-02   8.893608e-02  -5.154190e-03   3.188226e-01  -1.273670e-02
   1.071891e+02   6.311434e-01  -2.061037e-02   8.891534e-02  -4.538655e-03   3.187504e-01  -1.121635e-02
   9.437878e+01   6.310415e-01  -1.814949e-02   8.889925e-02  -3.996541e-03   3.186944e-01  -9.877119e-03
   8.309942e+01   6.309626e-01  -1.598199e-02   8.888678e-02  -3.519118e-03   3.186510e-01  -8.697543e-03
   7.316807e+01   6.309014e-01  -1.407303e-02   8.887711e-02  -3.098686e-03   3.186173e-01  -7.658669e-03
   6.442364e+01   6.308539e-01  -1.239187e-02   8.886961e-02  -2.728455e-03   3.185912e-01  -6.743768e-03
   5.672426e+01   6.308171e-01  -1.091140e-02   8.886380e-02  -2.402440e-03   3.185710e-01  -5.938081e-03
   4.994505e+01   6.307885e-01  -9.607700e-03   8.885929e-02  -2.115366e-03   3.185553e-01  -5.228597e-03
   4.397604e+01   6.307664e-01  -8.459701e-03   8.885579e-02  -1.862586e-03   3.185431e-01  -4.603846e-03
   3.872039e+01   6.307492e-01  -7.448828e-03   8.885309e-02  -1.640007e-03   3.185337e-01  -4.053719e-03
   3.409285e+01   6.307359e-01  -6.558715e-03   8.885098e-02  -1.444022e-03   3.185263e-01  -3.569312e-03
   3.001836e+01   6.307256e-01  -5.774946e-03   8.884936e-02  -1.271454e-03   3.185207e-01  -3.142778e-03
   2.643081e+01   6.307176e-01  -5.084824e-03   8.884809e-02  -1.119507e-03   3.185163e-01  -2.767207e-03
   2.327202e+01   6.307114e-01  -4.477162e-03   8.884711e-02  -9.857177e-04   3.185129e-01  -2.436512e-03
   2.049075e+01   6.307066e-01  -3.942113e-03   8.884636e-02  -8.679161e-04   3.185102e-01  -2.145333e-03
   1.804186e+01   6.307029e-01  -3.471001e-03   8.884577e-02  -7.641922e-04   3.185082e-01  -1.888950e-03
   1.588565e+01   6.307000e-01  -3.056187e-03   8.884531e-02  -6.728638e-04   3.185066e-01  -1.663204e-03
   1.398713e+01   6.306978e-01  -2.690944e-03   8.884496e-02  -5.924498e-04   3.185054e-01  -1.464436e-03
   1.231551e+01   6.306960e-01  -2.369350e-03   8.884468e-02  -5.216458e-04   3.185044e-01  -1.289422e-03
   1.084366e+01   6.306947e-01  -2.086189e-03   8.884447e-02  -4.593035e-04   3.185037e-01  -1.135323e-03
   9.547716e+00   6.306937e-01  -1.836867e-03   8.884431e-02  -4.044117e-04   3.185031e-01  -9.996398e-04
   8.406653e+00   6.306928e-01  -1.617342e-03   8.884418e-02  -3.560800e-04   3.185026e-01  -8.801721e-04
   7.401960e+00   6.306922e-01  -1.424052e-03   8.884408e-02  -3.135245e-04   3.185023e-01  -7.749819e-04
