------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   9423   -6.2080995695    1.8899114794   -2.6816417366   -6.2080989521    1.8899112301   -2.6816412970
   9424   -6.2080996387    1.8899114822   -2.6816418681   -6.2080990214    1.8899112329   -2.6816413876
   9425   -6.2080997078    1.8899114850   -2.6816419008   -6.2080990907    1.8899112358   -2.6816414781
   9426   -6.2080997770    1.8899114878   -2.6816419885   -6.2080991599    1.8899112386   -2.6816415686
   9427   -6.2080998461    1.8899114906   -2.6816421185   -6.2080992292    1.8899112415   -2.6816416591
   9428   -6.2080999151    1.8899114933   -2.6816422010   -6.2080992984    1.8899112443   -2.6816417496
   9429   -6.2080999842    1.8899114961   -2.6816422745   -6.2080993676    1.8899112472   -2.6816418401
   9430   -6.2081000533    1.8899114989   -2.6816424031   -6.2080994368    1.8899112500   -2.6816419305
   9431   -6.2081001223    1.8899115017   -2.6816424715   -6.2080995060    1.8899112528   -2.6816420210
   9432   -6.2081001914    1.8899115045   -2.6816425694   -6.2080995751    1.8899112557   -2.6816421114
   9433   -6.2081002604    1.8899115073   -2.6816426583   -6.2080996443    1.8899112585   -2.6816422017
   9434   -6.2081003294    1.8899115101   -2.6816427127   -6.2080997134    1.8899112614   -2.6816422921
   9435   -6.2081003984    1.8899115129   -2.6816428224   -6.2080997825    1.8899112642   -2.6816423825
   9436   -6.2081004673    1.8899115157   -2.6816429489   -6.2080998516    1.8899112670   -2.6816424728
   9437   -6.2081005363    1.8899115184   -2.6816429895   -6.2080999207    1.8899112699   -2.6816425631
   9438   -6.2081006053    1.8899115212   -2.6816431111   -6.2080999898    1.8899112727   -2.6816426534
   9439   -6.2081006742    1.8899115240   -2.6816431725   -6.2081000589    1.8899112756   -2.6816427437
   9440   -6.2081007431    1.8899115268   -2.6816433022   -6.2081001279    1.8899112784   -2.6816428339
   9441   -6.2081008120    1.8899115296   -2.6816433974   -6.2081001969    1.8899112812   -2.6816429241
   9442   -6.2081008809    1.8899115324   -2.6816434453   -6.2081002660    1.8899112841   -2.6816430144
   9443   -6.2081009498    1.8899115352   -2.6816435359   -6.2081003350    1.8899112869   -2.6816431045
   9444   -6.2081010186    1.8899115379   -2.6816436819   -6.2081004040    1.8899112897   -2.6816431947
   9445   -6.2081010874    1.8899115407   -2.6816437936   -6.2081004729    1.8899112926   -2.6816432849
   9446   -6.2081011563    1.8899115435   -2.6816438066   -6.2081005419    1.8899112954   -2.6816433750
   9447   -6.2081012251    1.8899115463   -2.6816439265   -6.2081006108    1.8899112982   -2.6816434651
   9448   -6.2081012939    1.8899115491   -2.6816440250   -6.2081006798    1.8899113011   -2.6816435552
   9449   -6.2081013627    1.8899115518   -2.6816440634   -6.2081007487    1.8899113039   -2.6816436453
   9450   -6.2081014315    1.8899115546   -2.6816441575   -6.2081008176    1.8899113067   -2.6816437354
   9451   -6.2081015002    1.8899115574   -2.6816442558   -6.2081008865    1.8899113096   -2.6816438254
   9452   -6.2081015690    1.8899115602   -2.6816443455   -6.2081009553    1.8899113124   -2.6816439154
   9453   -6.2081016377    1.8899115630   -2.6816444396   -6.2081010242    1.8899113152   -2.6816440054
   9454   -6.2081017064    1.8899115657   -2.6816444736   -6.2081010930    1.8899113181   -2.6816440954
   9455   -6.2081017751    1.8899115685   -2.6816446277   -6.2081011619    1.8899113209   -2.6816441854
   9456   -6.2081018438    1.8899115713   -2.6816447219   -6.2081012307    1.8899113237   -2.6816442753
   9457   -6.2081019125    1.8899115740   -2.6816447947   -6.2081012995    1.8899113265   -2.6816443653
   9458   -6.2081019811    1.8899115768   -2.6816448976   -6.2081013683    1.8899113294   -2.6816444552
   9459   -6.2081020498    1.8899115796   -2.6816449920   -6.2081014370    1.8899113322   -2.6816445451
   9460   -6.2081021184    1.8899115824   -2.6816450394   -6.2081015058    1.8899113350   -2.6816446349
   9461   -6.2081021870    1.8899115851   -2.6816452071   -6.2081015745    1.8899113378   -2.6816447248
   9462   -6.2081022556    1.8899115879   -2.6816452248   -6.2081016432    1.8899113407   -2.6816448146
   9463   -6.2081023241    1.8899115907   -2.6816453500   -6.2081017120    1.8899113435   -2.6816449044
   9464   -6.2081023927    1.8899115935   -2.6816454539   -6.2081017807    1.8899113463   -2.6816449942
   9465   -6.2081024613    1.8899115962   -2.6816455109   -6.2081018493    1.8899113491   -2.6816450840
   9466   -6.2081025298    1.8899115990   -2.6816455981   -6.2081019180    1.8899113520   -2.6816451738
   9467   -6.2081025983    1.8899116018   -2.6816456899   -6.2081019867    1.8899113548   -2.6816452635
   9468   -6.2081026669    1.8899116045   -2.6816457992   -6.2081020553    1.8899113576   -2.6816453532
   9469   -6.2081027353    1.8899116073   -2.6816458616   -6.2081021239    1.8899113604   -2.6816454429
   9470   -6.2081028038    1.8899116101   -2.6816459672   -6.2081021925    1.8899113632   -2.6816455326
   9471   -6.2081028723    1.8899116128   -2.6816460259   -6.2081022611    1.8899113661   -2.6816456223
   9472   -6.2081029408    1.8899116156   -2.6816461280   -6.2081023297    1.8899113689   -2.6816457119
   9473   -6.2081030092    1.8899116184   -2.6816462347   -6.2081023983    1.8899113717   -2.6816458015
   9474   -6.2081030776    1.8899116211   -2.6816462817   -6.2081024668    1.8899113745   -2.6816458911
   9475   -6.2081031460    1.8899116239   -2.6816463721   -6.2081025354    1.8899113773   -2.6816459807
   9476   -6.2081032144    1.8899116267   -2.6816464801   -6.2081026039    1.8899113801   -2.6816460703
   9477   -6.2081032828    1.8899116294   -2.6816466057   -6.2081026724    1.8899113830   -2.6816461598
   9478   -6.2081033511    1.8899116322   -2.6816466717   -6.2081027409    1.8899113858   -2.6816462494
   9479   -6.2081034195    1.8899116349   -2.6816467554   -6.2081028094    1.8899113886   -2.6816463389
   9480   -6.2081034878    1.8899116377   -2.6816468180   -6.2081028778    1.8899113914   -2.6816464284
   9481   -6.2081035562    1.8899116405   -2.6816469372   -6.2081029463    1.8899113942   -2.6816465178
   9482   -6.2081036245    1.8899116432   -2.6816471256   -6.2081030147    1.8899113970   -2.6816466073
   9483   -6.2081036927    1.8899116460   -2.6816471384   -6.2081030831    1.8899113998   -2.6816466967
   9484   -6.2081037610    1.8899116487   -2.6816472463   -6.2081031515    1.8899114026   -2.6816467861
   9485   -6.2081038293    1.8899116515   -2.6816472430   -6.2081032199    1.8899114055   -2.6816468755
   9486   -6.2081038976    1.8899116543   -2.6816474254   -6.2081032883    1.8899114083   -2.6816469649
   9487   -6.2081039658    1.8899116570   -2.6816474449   -6.2081033567    1.8899114111   -2.6816470543
   9488   -6.2081040340    1.8899116598   -2.6816475855   -6.2081034250    1.8899114139   -2.6816471436
   9489   -6.2081041022    1.8899116625   -2.6816476666   -6.2081034934    1.8899114167   -2.6816472329
   9490   -6.2081041704    1.8899116653   -2.6816477139   -6.2081035617    1.8899114195   -2.6816473222
   9491   -6.2081042386    1.8899116680   -2.6816478696   -6.2081036300    1.8899114223   -2.6816474115
   9492   -6.2081043067    1.8899116708   -2.6816479658   -6.2081036983    1.8899114251   -2.6816475008
   9493   -6.2081043749    1.8899116735   -2.6816480283   -6.2081037666    1.8899114279   -2.6816475900
   9494   -6.2081044430    1.8899116763   -2.6816481347   -6.2081038348    1.8899114307   -2.6816476793
   9495   -6.2081045111    1.8899116790   -2.6816481944   -6.2081039031    1.8899114335   -2.6816477685
   9496   -6.2081045793    1.8899116818   -2.6816482852   -6.2081039713    1.8899114363   -2.6816478577
   9497   -6.2081046473    1.8899116845   -2.6816483810   -6.2081040395    1.8899114391   -2.6816479468
   9498   -6.2081047154    1.8899116873   -2.6816484563   -6.2081041077    1.8899114419   -2.6816480360
   9499   -6.2081047835    1.8899116900   -2.6816485754   -6.2081041759    1.8899114447   -2.6816481251
   9500   -6.2081048515    1.8899116928   -2.6816486998   -6.2081042441    1.8899114475   -2.6816482142
   9501   -6.2081049196    1.8899116956   -2.6816486743   -6.2081043123    1.8899114503   -2.6816483033
   9502   -6.2081049876    1.8899116983   -2.6816488350   -6.2081043804    1.8899114531   -2.6816483924
   9503   -6.2081050556    1.8899117010   -2.6816489363   -6.2081044486    1.8899114559   -2.6816484815
   9504   -6.2081051236    1.8899117038   -2.6816489782   -6.2081045167    1.8899114587   -2.6816485705
   9505   -6.2081051916    1.8899117065   -2.6816491160   -6.2081045848    1.8899114615   -2.6816486595
   9506   -6.2081052595    1.8899117093   -2.6816492074   -6.2081046529    1.8899114643   -2.6816487485
   9507   -6.2081053275    1.8899117120   -2.6816492523   -6.2081047209    1.8899114671   -2.6816488375
   9508   -6.2081053954    1.8899117148   -2.6816493415   -6.2081047890    1.8899114699   -2.6816489265
   9509   -6.2081054633    1.8899117175   -2.6816494489   -6.2081048571    1.8899114727   -2.6816490154
   9510   -6.2081055313    1.8899117203   -2.6816494971   -6.2081049251    1.8899114755   -2.6816491043
   9511   -6.2081055991    1.8899117230   -2.6816496153   -6.2081049931    1.8899114783   -2.6816491933
   9512   -6.2081056670    1.8899117258   -2.6816497390   -6.2081050611    1.8899114811   -2.6816492821
   9513   -6.2081057349    1.8899117285   -2.6816497646   -6.2081051291    1.8899114839   -2.6816493710
   9514   -6.2081058027    1.8899117313   -2.6816499252   -6.2081051971    1.8899114867   -2.6816494599
   9515   -6.2081058706    1.8899117340   -2.6816499747   -6.2081052650    1.8899114895   -2.6816495487
   9516   -6.2081059384    1.8899117367   -2.6816501333   -6.2081053330    1.8899114923   -2.6816496375
   9517   -6.2081060062    1.8899117395   -2.6816501162   -6.2081054009    1.8899114951   -2.6816497263
   9518   -6.2081060740    1.8899117422   -2.6816502600   -6.2081054688    1.8899114979   -2.6816498151
   9519   -6.2081061418    1.8899117449   -2.6816503446   -6.2081055368    1.8899115007   -2.6816499039
   9520   -6.2081062095    1.8899117477   -2.6816504607   -6.2081056046    1.8899115034   -2.6816499926
   9521   -6.2081062773    1.8899117504   -2.6816505177   -6.2081056725    1.8899115062   -2.6816500813
   9522   -6.2081063450    1.8899117531   -2.6816506321   -6.2081057404    1.8899115090   -2.6816501700
   9523   -6.2081064127    1.8899117559   -2.6816507003   -6.2081058082    1.8899115118   -2.6816502587
   9524   -6.2081064804    1.8899117586   -2.6816507872   -6.2081058761    1.8899115146   -2.6816503474
   9525   -6.2081065481    1.8899117614   -2.6816508408   -6.2081059439    1.8899115174   -2.6816504360
   9526   -6.2081066158    1.8899117641   -2.6816509261   -6.2081060117    1.8899115202   -2.6816505246
   9527   -6.2081066835    1.8899117668   -2.6816510819   -6.2081060795    1.8899115230   -2.6816506133
   9528   -6.2081067511    1.8899117696   -2.6816511528   -6.2081061473    1.8899115257   -2.6816507018
   9529   -6.2081068187    1.8899117723   -2.6816512164   -6.2081062150    1.8899115285   -2.6816507904
   9530   -6.2081068864    1.8899117750   -2.6816512988   -6.2081062828    1.8899115313   -2.6816508790
   9531   -6.2081069540    1.8899117778   -2.6816514388   -6.2081063505    1.8899115341   -2.6816509675
   9532   -6.2081070216    1.8899117805   -2.6816514679   -6.2081064182    1.8899115369   -2.6816510560
   9533   -6.2081070892    1.8899117832   -2.6816515807   -6.2081064859    1.8899115397   -2.6816511445
   9534   -6.2081071567    1.8899117860   -2.6816516475   -6.2081065536    1.8899115424   -2.6816512330
   9535   -6.2081072243    1.8899117887   -2.6816517721   -6.2081066213    1.8899115452   -2.6816513215
   9536   -6.2081072918    1.8899117914   -2.6816518895   -6.2081066890    1.8899115480   -2.6816514099
   9537   -6.2081073593    1.8899117941   -2.6816519221   -6.2081067566    1.8899115508   -2.6816514983
   9538   -6.2081074269    1.8899117969   -2.6816520255   -6.2081068242    1.8899115536   -2.6816515867
   9539   -6.2081074943    1.8899117996   -2.6816521218   -6.2081068919    1.8899115563   -2.6816516751
   9540   -6.2081075618    1.8899118023   -2.6816521852   -6.2081069595    1.8899115591   -2.6816517635
   9541   -6.2081076293    1.8899118051   -2.6816522286   -6.2081070271    1.8899115619   -2.6816518519
   9542   -6.2081076967    1.8899118078   -2.6816523300   -6.2081070946    1.8899115647   -2.6816519402
   9543   -6.2081077642    1.8899118105   -2.6816525023   -6.2081071622    1.8899115675   -2.6816520285
   9544   -6.2081078316    1.8899118132   -2.6816525378   -6.2081072298    1.8899115702   -2.6816521168
   9545   -6.2081078990    1.8899118160   -2.6816526184   -6.2081072973    1.8899115730   -2.6816522051
   9546   -6.2081079664    1.8899118187   -2.6816527310   -6.2081073648    1.8899115758   -2.6816522933
   9547   -6.2081080338    1.8899118214   -2.6816528107   -6.2081074323    1.8899115785   -2.6816523816
   9548   -6.2081081011    1.8899118241   -2.6816529096   -6.2081074998    1.8899115813   -2.6816524698
   9549   -6.2081081685    1.8899118269   -2.6816529627   -6.2081075673    1.8899115841   -2.6816525580
   9550   -6.2081082358    1.8899118296   -2.6816530868   -6.2081076348    1.8899115869   -2.6816526462
   9551   -6.2081083032    1.8899118323   -2.6816531262   -6.2081077022    1.8899115896   -2.6816527343
   9552   -6.2081083705    1.8899118350   -2.6816532498   -6.2081077697    1.8899115924   -2.6816528225
   9553   -6.2081084378    1.8899118377   -2.6816533276   -6.2081078371    1.8899115952   -2.6816529106
   9554   -6.2081085051    1.8899118405   -2.6816534767   -6.2081079045    1.8899115980   -2.6816529987
   9555   -6.2081085723    1.8899118432   -2.6816535280   -6.2081079719    1.8899116007   -2.6816530868
   9556   -6.2081086396    1.8899118459   -2.6816535986   -6.2081080393    1.8899116035   -2.6816531749
   9557   -6.2081087068    1.8899118486   -2.6816537145   -6.2081081066    1.8899116063   -2.6816532629
   9558   -6.2081087741    1.8899118513   -2.6816538107   -6.2081081740    1.8899116090   -2.6816533510
   9559   -6.2081088412    1.8899118540   -2.6816539133   -6.2081082413    1.8899116118   -2.6816534390
   9560   -6.2081089084    1.8899118567   -2.6816539572   -6.2081083086    1.8899116146   -2.6816535270
   9561   -6.2081089757    1.8899118595   -2.6816540725   -6.2081083759    1.8899116173   -2.6816536150
   9562   -6.2081090428    1.8899118622   -2.6816541421   -6.2081084432    1.8899116201   -2.6816537029
   9563   -6.2081091100    1.8899118649   -2.6816542182   -6.2081085105    1.8899116229   -2.6816537909
   9564   -6.2081091771    1.8899118676   -2.6816542616   -6.2081085778    1.8899116256   -2.6816538788
   9565   -6.2081092442    1.8899118703   -2.6816543766   -6.2081086450    1.8899116284   -2.6816539667
   9566   -6.2081093113    1.8899118730   -2.6816544720   -6.2081087123    1.8899116311   -2.6816540546
   9567   -6.2081093785    1.8899118758   -2.6816546390   -6.2081087795    1.8899116339   -2.6816541425
   9568   -6.2081094455    1.8899118785   -2.6816546172   -6.2081088467    1.8899116367   -2.6816542303
   9569   -6.2081095126    1.8899118812   -2.6816547061   -6.2081089139    1.8899116394   -2.6816543182
   9570   -6.2081095797    1.8899118839   -2.6816548536   -6.2081089811    1.8899116422   -2.6816544060
   9571   -6.2081096467    1.8899118866   -2.6816549166   -6.2081090483    1.8899116450   -2.6816544938
   9572   -6.2081097138    1.8899118893   -2.6816550122   -6.2081091154    1.8899116477   -2.6816545816
   9573   -6.2081097808    1.8899118920   -2.6816551013   -6.2081091826    1.8899116505   -2.6816546693
   9574   -6.2081098478    1.8899118947   -2.6816551841   -6.2081092497    1.8899116532   -2.6816547571
   9575   -6.2081099148    1.8899118974   -2.6816552474   -6.2081093168    1.8899116560   -2.6816548448
   9576   -6.2081099817    1.8899119001   -2.6816553435   -6.2081093839    1.8899116587   -2.6816549325
   9577   -6.2081100487    1.8899119028   -2.6816554593   -6.2081094510    1.8899116615   -2.6816550202
   9578   -6.2081101156    1.8899119055   -2.6816554514   -6.2081095181    1.8899116643   -2.6816551079
   9579   -6.2081101826    1.8899119082   -2.6816555936   -6.2081095851    1.8899116670   -2.6816551955
   9580   -6.2081102495    1.8899119109   -2.6816557296   -6.2081096522    1.8899116698   -2.6816552831
   9581   -6.2081103164    1.8899119136   -2.6816557810   -6.2081097192    1.8899116725   -2.6816553708
   9582   -6.2081103833    1.8899119164   -2.6816558914   -6.2081097862    1.8899116753   -2.6816554584
   9583   -6.2081104502    1.8899119191   -2.6816559825   -6.2081098532    1.8899116780   -2.6816555459
   9584   -6.2081105170    1.8899119218   -2.6816560804   -6.2081099202    1.8899116808   -2.6816556335
   9585   -6.2081105839    1.8899119245   -2.6816561069   -6.2081099872    1.8899116835   -2.6816557210
   9586   -6.2081106507    1.8899119272   -2.6816562706   -6.2081100541    1.8899116863   -2.6816558086
   9587   -6.2081107175    1.8899119299   -2.6816562978   -6.2081101211    1.8899116890   -2.6816558961
   9588   -6.2081107843    1.8899119326   -2.6816563448   -6.2081101880    1.8899116918   -2.6816559835
   9589   -6.2081108511    1.8899119353   -2.6816564771   -6.2081102549    1.8899116945   -2.6816560710
   9590   -6.2081109179    1.8899119380   -2.6816565380   -6.2081103218    1.8899116973   -2.6816561585
   9591   -6.2081109847    1.8899119407   -2.6816567494   -6.2081103887    1.8899117000   -2.6816562459
   9592   -6.2081110514    1.8899119433   -2.6816567851   -6.2081104556    1.8899117028   -2.6816563333
   9593   -6.2081111182    1.8899119461   -2.6816568408   -6.2081105225    1.8899117055   -2.6816564207
   9594   -6.2081111849    1.8899119488   -2.6816569687   -6.2081105893    1.8899117083   -2.6816565081
   9595   -6.2081112516    1.8899119514   -2.6816570384   -6.2081106561    1.8899117110   -2.6816565954
   9596   -6.2081113183    1.8899119541   -2.6816570499   -6.2081107230    1.8899117138   -2.6816566828
   9597   -6.2081113849    1.8899119568   -2.6816571990   -6.2081107898    1.8899117165   -2.6816567701
   9598   -6.2081114516    1.8899119595   -2.6816572768   -6.2081108566    1.8899117193   -2.6816568574
   9599   -6.2081115183    1.8899119622   -2.6816573878   -6.2081109233    1.8899117220   -2.6816569447
   9600   -6.2081115849    1.8899119649   -2.6816574538   -6.2081109901    1.8899117247   -2.6816570320
   9601   -6.2081116515    1.8899119676   -2.6816575529   -6.2081110568    1.8899117275   -2.6816571192
   9602   -6.2081117182    1.8899119703   -2.6816576331   -6.2081111236    1.8899117302   -2.6816572064
   9603   -6.2081117848    1.8899119730   -2.6816576813   -6.2081111903    1.8899117330   -2.6816572937
   9604   -6.2081118514    1.8899119757   -2.6816577759   -6.2081112570    1.8899117357   -2.6816573809
   9605   -6.2081119179    1.8899119784   -2.6816579168   -6.2081113237    1.8899117385   -2.6816574680
   9606   -6.2081119845    1.8899119811   -2.6816579736   -6.2081113904    1.8899117412   -2.6816575552
   9607   -6.2081120510    1.8899119838   -2.6816580506   -6.2081114571    1.8899117439   -2.6816576423
   9608   -6.2081121175    1.8899119864   -2.6816581219   -6.2081115237    1.8899117467   -2.6816577295
   9609   -6.2081121841    1.8899119891   -2.6816582919   -6.2081115904    1.8899117494   -2.6816578166
   9610   -6.2081122506    1.8899119918   -2.6816583516   -6.2081116570    1.8899117521   -2.6816579036
   9611   -6.2081123170    1.8899119945   -2.6816584578   -6.2081117236    1.8899117549   -2.6816579907
   9612   -6.2081123835    1.8899119972   -2.6816584929   -6.2081117902    1.8899117576   -2.6816580778
   9613   -6.2081124500    1.8899119999   -2.6816585746   -6.2081118568    1.8899117604   -2.6816581648
   9614   -6.2081125164    1.8899120026   -2.6816586768   -6.2081119233    1.8899117631   -2.6816582518
   9615   -6.2081125829    1.8899120052   -2.6816587209   -6.2081119899    1.8899117658   -2.6816583388
   9616   -6.2081126493    1.8899120079   -2.6816588248   -6.2081120564    1.8899117686   -2.6816584258
   9617   -6.2081127157    1.8899120106   -2.6816589100   -6.2081121230    1.8899117713   -2.6816585127
   9618   -6.2081127821    1.8899120133   -2.6816589895   -6.2081121895    1.8899117740   -2.6816585997
   9619   -6.2081128485    1.8899120160   -2.6816591551   -6.2081122560    1.8899117768   -2.6816586866
   9620   -6.2081129148    1.8899120187   -2.6816591710   -6.2081123225    1.8899117795   -2.6816587735
   9621   -6.2081129812    1.8899120214   -2.6816592600   -6.2081123889    1.8899117822   -2.6816588604
   9622   -6.2081130475    1.8899120240   -2.6816593826   -6.2081124554    1.8899117850   -2.6816589473
   9623   -6.2081131138    1.8899120267   -2.6816594343   -6.2081125218    1.8899117877   -2.6816590341
   9624   -6.2081131801    1.8899120294   -2.6816595720   -6.2081125883    1.8899117904   -2.6816591210
   9625   -6.2081132464    1.8899120321   -2.6816596519   -6.2081126547    1.8899117931   -2.6816592078
   9626   -6.2081133127    1.8899120347   -2.6816596871   -6.2081127211    1.8899117959   -2.6816592946
   9627   -6.2081133790    1.8899120374   -2.6816598084   -6.2081127875    1.8899117986   -2.6816593813
   9628   -6.2081134453    1.8899120401   -2.6816598587   -6.2081128539    1.8899118013   -2.6816594681
   9629   -6.2081135115    1.8899120428   -2.6816599299   -6.2081129202    1.8899118041   -2.6816595548
   9630   -6.2081135777    1.8899120455   -2.6816600611   -6.2081129866    1.8899118068   -2.6816596416
   9631   -6.2081136439    1.8899120481   -2.6816601738   -6.2081130529    1.8899118095   -2.6816597283
   9632   -6.2081137101    1.8899120508   -2.6816602156   -6.2081131192    1.8899118122   -2.6816598150
   9633   -6.2081137763    1.8899120535   -2.6816603307   -6.2081131855    1.8899118150   -2.6816599016
   9634   -6.2081138425    1.8899120562   -2.6816604404   -6.2081132518    1.8899118177   -2.6816599883
   9635   -6.2081139086    1.8899120588   -2.6816604531   -6.2081133181    1.8899118204   -2.6816600749
   9636   -6.2081139748    1.8899120615   -2.6816605784   -6.2081133844    1.8899118231   -2.6816601615
   9637   -6.2081140409    1.8899120642   -2.6816606328   -6.2081134506    1.8899118259   -2.6816602481
   9638   -6.2081141070    1.8899120669   -2.6816607869   -6.2081135169    1.8899118286   -2.6816603347
   9639   -6.2081141731    1.8899120695   -2.6816608702   -6.2081135831    1.8899118313   -2.6816604213
   9640   -6.2081142392    1.8899120722   -2.6816609219   -6.2081136493    1.8899118340   -2.6816605078
   9641   -6.2081143053    1.8899120749   -2.6816610341   -6.2081137155    1.8899118367   -2.6816605944
   9642   -6.2081143714    1.8899120776   -2.6816611672   -6.2081137817    1.8899118395   -2.6816606809
   9643   -6.2081144374    1.8899120802   -2.6816612033   -6.2081138479    1.8899118422   -2.6816607674
   9644   -6.2081145034    1.8899120829   -2.6816612999   -6.2081139140    1.8899118449   -2.6816608538
   9645   -6.2081145694    1.8899120855   -2.6816613257   -6.2081139802    1.8899118476   -2.6816609403
   9646   -6.2081146355    1.8899120882   -2.6816613988   -6.2081140463    1.8899118503   -2.6816610267
   9647   -6.2081147014    1.8899120909   -2.6816615062   -6.2081141124    1.8899118530   -2.6816611131
   9648   -6.2081147674    1.8899120935   -2.6816616216   -6.2081141785    1.8899118558   -2.6816611996
   9649   -6.2081148334    1.8899120962   -2.6816617581   -6.2081142446    1.8899118585   -2.6816612859
   9650   -6.2081148993    1.8899120989   -2.6816617846   -6.2081143107    1.8899118612   -2.6816613723
   9651   -6.2081149653    1.8899121015   -2.6816618454   -6.2081143767    1.8899118639   -2.6816614586
   9652   -6.2081150312    1.8899121042   -2.6816619406   -6.2081144428    1.8899118666   -2.6816615450
   9653   -6.2081150971    1.8899121069   -2.6816620570   -6.2081145088    1.8899118693   -2.6816616313
   9654   -6.2081151630    1.8899121095   -2.6816621027   -6.2081145748    1.8899118720   -2.6816617176
   9655   -6.2081152289    1.8899121122   -2.6816622354   -6.2081146408    1.8899118748   -2.6816618039
   9656   -6.2081152948    1.8899121149   -2.6816623237   -6.2081147068    1.8899118775   -2.6816618901
   9657   -6.2081153606    1.8899121175   -2.6816623677   -6.2081147728    1.8899118802   -2.6816619764
   9658   -6.2081154265    1.8899121202   -2.6816624855   -6.2081148388    1.8899118829   -2.6816620626
   9659   -6.2081154923    1.8899121228   -2.6816625328   -6.2081149047    1.8899118856   -2.6816621488
   9660   -6.2081155581    1.8899121255   -2.6816626803   -6.2081149707    1.8899118883   -2.6816622350
   9661   -6.2081156239    1.8899121281   -2.6816627703   -6.2081150366    1.8899118910   -2.6816623211
   9662   -6.2081156897    1.8899121308   -2.6816628160   -6.2081151025    1.8899118937   -2.6816624073
   9663   -6.2081157555    1.8899121335   -2.6816629489   -6.2081151684    1.8899118964   -2.6816624934
   9664   -6.2081158213    1.8899121362   -2.6816630507   -6.2081152343    1.8899118991   -2.6816625795
   9665   -6.2081158870    1.8899121388   -2.6816630688   -6.2081153001    1.8899119019   -2.6816626656
   9666   -6.2081159527    1.8899121415   -2.6816632399   -6.2081153660    1.8899119046   -2.6816627517
   9667   -6.2081160184    1.8899121441   -2.6816633142   -6.2081154318    1.8899119073   -2.6816628378
   9668   -6.2081160842    1.8899121468   -2.6816633179   -6.2081154977    1.8899119100   -2.6816629238
   9669   -6.2081161498    1.8899121494   -2.6816634089   -6.2081155635    1.8899119127   -2.6816630099
   9670   -6.2081162155    1.8899121521   -2.6816635611   -6.2081156293    1.8899119154   -2.6816630959
   9671   -6.2081162812    1.8899121547   -2.6816636427   -6.2081156951    1.8899119181   -2.6816631819
   9672   -6.2081163468    1.8899121574   -2.6816636802   -6.2081157608    1.8899119208   -2.6816632678
   9673   -6.2081164125    1.8899121600   -2.6816637919   -6.2081158266    1.8899119235   -2.6816633538
   9674   -6.2081164781    1.8899121627   -2.6816638727   -6.2081158923    1.8899119262   -2.6816634397
   9675   -6.2081165437    1.8899121653   -2.6816639883   -6.2081159581    1.8899119289   -2.6816635256
   9676   -6.2081166093    1.8899121680   -2.6816640730   -6.2081160238    1.8899119316   -2.6816636115
   9677   -6.2081166749    1.8899121707   -2.6816641136   -6.2081160895    1.8899119343   -2.6816636974
   9678   -6.2081167405    1.8899121733   -2.6816641759   -6.2081161552    1.8899119370   -2.6816637833
   9679   -6.2081168060    1.8899121759   -2.6816643126   -6.2081162209    1.8899119397   -2.6816638691
   9680   -6.2081168716    1.8899121786   -2.6816644317   -6.2081162865    1.8899119424   -2.6816639550
   9681   -6.2081169371    1.8899121812   -2.6816644540   -6.2081163522    1.8899119451   -2.6816640408
   9682   -6.2081170026    1.8899121839   -2.6816645245   -6.2081164178    1.8899119478   -2.6816641266
   9683   -6.2081170681    1.8899121865   -2.6816646563   -6.2081164834    1.8899119505   -2.6816642124
   9684   -6.2081171336    1.8899121892   -2.6816647046   -6.2081165491    1.8899119532   -2.6816642981
   9685   -6.2081171991    1.8899121918   -2.6816648407   -6.2081166147    1.8899119559   -2.6816643839
   9686   -6.2081172645    1.8899121945   -2.6816649196   -6.2081166802    1.8899119586   -2.6816644696
   9687   -6.2081173300    1.8899121971   -2.6816649282   -6.2081167458    1.8899119613   -2.6816645553
   9688   -6.2081173954    1.8899121998   -2.6816650906   -6.2081168114    1.8899119640   -2.6816646410
   9689   -6.2081174609    1.8899122024   -2.6816651694   -6.2081168769    1.8899119666   -2.6816647267
   9690   -6.2081175263    1.8899122051   -2.6816652703   -6.2081169424    1.8899119693   -2.6816648123
   9691   -6.2081175916    1.8899122077   -2.6816652613   -6.2081170080    1.8899119720   -2.6816648980
   9692   -6.2081176570    1.8899122104   -2.6816653798   -6.2081170735    1.8899119747   -2.6816649836
   9693   -6.2081177224    1.8899122130   -2.6816654676   -6.2081171389    1.8899119774   -2.6816650692
   9694   -6.2081177878    1.8899122156   -2.6816655775   -6.2081172044    1.8899119801   -2.6816651548
